"norm_tgf_control_1"	"norm_tgf_control_2"	"norm_tgf_control_3"	"norm_tgf_control_4"	"tgf_control_median averaged"	"norm_tgf_6h_1"	"norm_tgf_6h_2"	"norm_tgf_6h_3"	"norm_tgf_6h_4"	"tgf_6h_median averaged"	"norm_tgf_12h_1"	"norm_tgf_12h_2"	"norm_tgf_12h_3"	"norm_tgf_12h_4"	"tgf_12h_median averaged"	"norm_tgf_24h_1"	"norm_tgf_24h_2"	"norm_tgf_24h_3"	"norm_tgf_24h_4"	"tgf_24h_median averaged"	"norm_tgf_36h_1"	"norm_tgf_36h_2"	"norm_tgf_36h_3"	"norm_tgf_36h_4"	"tgf_36h_median averaged"	"norm_tgf_48h_1"	"norm_tgf_48h_2"	"norm_tgf_48h_3"	"norm_tgf_48h_4"	"tgf_48h_median averaged"	"ANOVA Significant"	"  -Log 10 ANOVA p value"	"PEP"	"Intensity"	"Peptides"	"Unique peptides"	"Protein IDs"	"Majority protein IDs"	"Protein names"	"Gene names"
-0.34	0.34	-0.03	0.03	0.00	-0.46	0.08	-0.12	-0.31	-0.21	0.19	-0.37	-0.26	0.53	-0.04	0.60	-0.02	-0.31	0.41	0.19	"NaN"	0.08	0.25	0.07	0.08	-0.03	-0.77	-0.08	-0.97	-0.43		0.75	3.63E-93	21519000000	15	14	"Q9Y6X9-2;Q9Y6X9;H7C1V1;H7C3M1"	"Q9Y6X9-2;Q9Y6X9"	"MORC family CW-type zinc finger protein 2"	"MORC2"
0.12	-0.12	0.02	-0.02	0.00	0.18	0.56	0.31	0.74	0.44	0.31	-1.16	-0.26	-0.47	-0.36	0.73	0.86	0.43	-0.05	0.58	0.66	-0.06	-0.57	-0.75	-0.32	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		1.29	6.72E-12	3778300000	5	5	"Q9Y6X8;H0YKA3"	"Q9Y6X8"	"Zinc fingers and homeoboxes protein 2"	"ZHX2"
0.03	-0.03	-0.01	0.01	0.00	-0.36	0.22	0.25	0.16	0.19	0.14	0.67	0.27	0.04	0.21	0.32	0.27	0.33	-0.19	0.29	0.07	-0.04	0.25	0.16	0.12	-0.51	-0.09	-0.19	0.03	-0.14		0.98	0	48962000000	29	28	"Q9Y6W5;Q9Y6W5-2"	"Q9Y6W5;Q9Y6W5-2"	"Wiskott-Aldrich syndrome protein family member 2"	"WASF2"
0.61	-0.61	0.97	-0.97	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	6.30E-16	681640000	6	6	"Q9Y6V7;Q9BVQ8"	"Q9Y6V7"	"Probable ATP-dependent RNA helicase DDX49"	"DDX49"
0.96	-0.96	-0.01	0.01	0.00	"NaN"	"NaN"	0.03	"NaN"	0.03	0.23	0.12	-0.17	-0.33	-0.02	"NaN"	"NaN"	1.34	"NaN"	1.34	"NaN"	"NaN"	"NaN"	0.95	0.95	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.03	2.17E-48	872620000	13	9	"Q9Y6R0"	"Q9Y6R0"	"Numb-like protein"	"NUMBL"
-0.15	0.15	0.09	-0.09	0.00	-0.46	-0.43	-0.03	-0.05	-0.24	-0.27	0.03	0.27	0.32	0.15	-0.42	0.05	-0.29	-0.33	-0.31	-0.46	-0.14	0.26	-0.05	-0.10	-0.62	-0.44	-0.18	-0.38	-0.41		1.19	0	7957000000	26	26	"Q9Y6Q9-5;Q9Y6Q9;Q9Y6Q9-2;Q9Y6Q9-3;Q9Y6Q9-4;C9JCR8;B4DYS9"	"Q9Y6Q9-5;Q9Y6Q9;Q9Y6Q9-2;Q9Y6Q9-3;Q9Y6Q9-4;C9JCR8"	"Nuclear receptor coactivator 3"	"NCOA3"
-0.09	0.09	0.10	-0.10	0.00	0.03	-0.17	0.50	0.03	0.03	-0.31	-0.12	0.10	0.10	-0.01	0.47	-0.49	0.39	-0.10	0.15	0.50	1.04	1.80	1.44	1.24	0.07	0.59	-0.21	0.10	0.09	"+"	3.11	6.29E-87	10631000000	19	14	"Q9Y6Q5;Q9Y6Q5-2"	"Q9Y6Q5;Q9Y6Q5-2"	"AP-1 complex subunit mu-2"	"AP1M2"
0.02	-0.02	-0.19	0.19	0.00	0.23	0.24	0.09	-0.17	0.16	0.14	-0.09	0.40	0.35	0.24	0.27	0.15	-0.01	0.16	0.15	-0.11	-0.07	-0.11	-0.16	-0.11	0.13	0.47	0.21	0.73	0.34		1.68	0	96822000000	43	43	"Q9Y6N5;H3BNX3;H3BMS6;H3BNP9;H3BV36"	"Q9Y6N5;H3BNX3"	"Sulfide:quinone oxidoreductase, mitochondrial"	"SQRDL"
-0.54	0.54	-0.42	0.42	0.00	-0.84	-0.12	0.13	-0.41	-0.27	0.54	1.13	-0.51	-0.20	0.17	-0.26	-0.34	1.52	1.84	0.63	-0.28	-0.06	0.49	-0.11	-0.08	-0.89	-1.17	-0.25	-0.73	-0.81		1.01	1.01E-131	19201000000	11	11	"Q9Y6M9;E9PH64;E7EWZ0;E9PF49"	"Q9Y6M9;E9PH64;E7EWZ0;E9PF49"	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9"	"NDUFB9"
0.29	-0.29	-0.23	0.23	0.00	0.26	-0.01	-0.27	0.18	0.08	0.10	-0.20	0.76	-0.13	-0.02	-0.40	0.11	0.11	0.03	0.07	-0.15	0.77	1.34	1.59	1.06	-0.20	0.31	0.41	-0.32	0.05		1.24	8.00E-51	8811900000	10	10	"Q9Y6M5"	"Q9Y6M5"	"Zinc transporter 1"	"SLC30A1"
-0.06	0.06	-0.13	0.13	0.00	-0.18	-0.12	0.35	0.07	-0.03	-0.17	0.01	-0.12	0.14	-0.05	0.09	0.09	-0.10	0.04	0.06	-0.29	0.04	0.44	0.16	0.10	0.20	0.37	0.33	0.35	0.34		0.87	0	50608000000	40	35	"Q9Y6M1-1;Q9Y6M1;F8W930;Q9Y6M1-5;Q9Y6M1-6;Q9Y6M1-3;Q9Y6M1-4"	"Q9Y6M1-1;Q9Y6M1;F8W930;Q9Y6M1-5;Q9Y6M1-6;Q9Y6M1-3;Q9Y6M1-4"	"Insulin-like growth factor 2 mRNA-binding protein 2"	"IGF2BP2"
0.27	-0.27	-0.03	0.03	0.00	0.00	0.27	0.03	0.18	0.11	0.25	0.51	-0.43	-0.19	0.03	0.28	-0.11	0.45	-0.24	0.08	0.44	0.13	0.38	0.00	0.26	1.01	0.75	-0.01	-0.29	0.37		0.15	0	20668000000	26	15	"Q9Y6K9;Q9Y6K9-2;C9J1R1;E7EU78;F8W9A9;A8MV29;Q9Y6K9-3;C9JZ85;C9JN51"	"Q9Y6K9;Q9Y6K9-2;C9J1R1;E7EU78;F8W9A9;A8MV29;Q9Y6K9-3;C9JZ85;C9JN51"	"NF-kappa-B essential modulator"	"IKBKG"
-0.46	0.46	0.17	-0.17	0.00	-0.45	-0.02	0.19	-0.57	-0.24	-0.15	-0.16	-0.14	-0.21	-0.15	-0.30	-0.46	0.13	-0.71	-0.38	-0.15	-0.31	-0.50	-0.26	-0.28	-0.37	0.31	-0.23	-0.95	-0.30		0.13	0	54494000000	37	37	"Q9Y6K5;F5GWB8;F8VWK9;F8VS35;F8VW22;H0YHL3"	"Q9Y6K5;F5GWB8"	"2-5-oligoadenylate synthase 3"	"OAS3"
0.52	-0.52	0.44	-0.44	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	0.05	0.34	0.03	0.35	0.20		0.28	5.40E-07	1264600000	2	2	"Q9Y6K0"	"Q9Y6K0"	"Choline/ethanolaminephosphotransferase 1"	"CEPT1"
-1.57	1.57	-0.10	0.10	0.00	"NaN"	0.28	0.50	0.35	0.35	0.01	0.54	-0.57	-1.07	-0.28	2.23	"NaN"	"NaN"	"NaN"	2.23	"NaN"	"NaN"	"NaN"	1.12	1.12	"NaN"	1.92	-1.44	0.08	0.08		0.06	2.16E-40	5670000000	5	5	"Q9Y6I9;C9JXQ7;C9JHH5;C9JL43;C9JUC3;C9J7N0"	"Q9Y6I9"	"Testis-expressed sequence 264 protein"	"TEX264"
-0.82	0.82	-0.28	0.28	0.00	-0.53	0.32	-0.12	0.17	0.02	0.57	0.01	0.22	-0.36	0.12	0.35	0.35	-1.46	-0.53	-0.09	-0.51	-0.83	-0.27	0.24	-0.39	0.22	-0.53	-0.07	0.03	-0.02		0.09	1.69E-249	12196000000	13	10	"Q9Y6I3-3;Q9Y6I3;Q9Y6I3-1;B4DU91;D6RBI9;D6R907"	"Q9Y6I3-3;Q9Y6I3;Q9Y6I3-1;B4DU91"	"Epsin-1"	"EPN1"
-2.04	2.04	0.05	-0.05	0.00	-0.12	-0.10	0.29	-0.29	-0.11	-0.23	-0.50	-0.38	-0.22	-0.30	0.77	0.95	3.78	3.52	2.23	"NaN"	"NaN"	"NaN"	3.65	3.65	-0.81	-1.01	-0.41	-0.87	-0.84	"+"	2.05	6.30E-115	18679000000	8	8	"Q9Y6H1;Q5T1J5"	"Q9Y6H1;Q5T1J5"	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial;Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial"	"CHCHD2;CHCHD2P9"
0.13	-0.13	0.18	-0.18	0.00	0.33	0.12	0.01	-0.18	0.06	-0.02	0.13	-0.09	-0.17	-0.06	0.35	0.24	-0.47	-0.24	0.00	-0.32	0.12	-0.21	-0.16	-0.19	0.02	0.68	-0.44	0.26	0.14		0.09	0	25760000000	32	31	"Q9Y6G9;E9PHI6;C9JGM7;C9JLW1"	"Q9Y6G9;E9PHI6"	"Cytoplasmic dynein 1 light intermediate chain 1"	"DYNC1LI1"
0.74	-0.74	-0.82	0.82	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	0.06	"NaN"	1.18	"NaN"	0.62	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	1.25	-0.63	-0.10	-0.10		0.13	8.71E-59	2885800000	6	6	"Q9Y6G5;D6RJ90;D6RC04;H0Y9N4"	"Q9Y6G5;D6RJ90;D6RC04"	"COMM domain-containing protein 10"	"COMMD10"
0.77	-0.77	0.48	-0.48	0.00	1.05	0.76	0.21	"NaN"	0.76	0.98	2.14	0.20	0.04	0.59	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-0.40	-0.63	-0.93	-0.89	-0.76		1.51	2.69E-93	5077500000	5	5	"Q9Y6G3;A6NCI0"	"Q9Y6G3;A6NCI0"	"39S ribosomal protein L42, mitochondrial"	"MRPL42"
0.11	-0.11	-0.21	0.21	0.00	-0.20	-0.24	-0.04	0.06	-0.12	-0.10	0.16	-0.14	0.38	0.03	-1.21	-0.68	-1.88	-1.31	-1.26	-0.97	-0.63	-0.18	0.01	-0.40	0.03	-0.44	-1.44	-1.13	-0.79	"+"	2.89	0	14619000000	39	39	"Q9Y6D9;B3KR41;C9JTA2;C9K086;C9JP81;F5GXH0;C9JIR0;C9JJ38;C9JPS1;C9JKI7;C9JX80;C9J9H5"	"Q9Y6D9;B3KR41"	"Mitotic spindle assembly checkpoint protein MAD1"	"MAD1L1"
0.30	-0.30	-0.15	0.15	0.00	1.46	"NaN"	0.68	"NaN"	1.07	0.10	"NaN"	2.00	1.72	1.72	1.09	"NaN"	0.19	-0.74	0.19	1.24	1.61	0.74	0.86	1.05	"NaN"	1.21	"NaN"	1.23	1.22		1.10	1.79E-64	4260600000	20	15	"Q9Y6D6;E5RIF2;E5RHL7;E5RJN9;E5RHZ1"	"Q9Y6D6;E5RIF2"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 1"	"ARFGEF1"
-0.27	0.27	0.07	-0.07	0.00	0.20	0.56	0.31	0.30	0.31	-0.43	0.20	0.12	0.25	0.16	0.19	"NaN"	0.23	-0.05	0.19	-0.36	0.10	0.13	0.05	0.08	"NaN"	1.93	0.50	0.05	0.50		0.92	6.33E-96	6896000000	28	23	"Q9Y6D5;F5H3H3"	"Q9Y6D5;F5H3H3"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 2"	"ARFGEF2"
